user_id,category_id,ads
562,362,"[717837, 1714622, 2254939, 341277, 2853312, 717837, 2817794, 2743854, 2065605, 2717468]"
571,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
572,362,"[1704736, 2598159, 2560201, 2853312, 2806018, 333573, 2449079, 2836886, 2757104, 2661821]"
573,362,"[1346848, 202107, 997867, 2158397, 1925751, 2794911, 725937, 2275067, 1946067, 1461688]"
639,362,"[2806018, 2757104, 2836886, 2853312, 2560201, 2449079, 1704736, 2598159, 333573]"
655,362,"[1704736, 2598159, 2853312, 2560201, 2806018, 333573, 2449079, 2836886, 2757104, 2661821]"
677,362,"[2857651, 2869883, 2683382, 2562902, 1364148, 2757104, 2836886, 2853312, 2560201, 2449079]"
754,362,"[2007251, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736, 2598159, 333573]"
915,362,"[1381385, 1331412, 2166487, 2275439, 2371296, 2083004, 2011417, 2026884, 1982647, 2030177]"
937,362,"[2034634, 2728759, 2522986, 2368295, 103148, 2085109, 2601573, 1128611, 2800593, 2587210]"
942,362,"[1639385, 333573, 2022549, 2734685, 2817268, 2762194, 2796760, 2767251, 2520251, 2795434]"
960,362,"[2647285, 1470393, 1470393, 1336027, 2647285, 817457, 2612653, 2832711, 2612653, 2091249]"
976,362,"[2617147, 558470, 2617147, 1639385, 2429868, 2359472, 2617147, 1555034, 1849053, 2581603]"
993,362,"[1516103, 2840293, 2181157, 2673931, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018]"
1018,362,"[2790509, 2761817, 2816403, 2761817, 2860389, 834129, 2790509, 1875339, 2624782, 2816403]"
1066,362,"[1704736, 2560201, 2598159, 2806018, 333573, 2853312, 2449079, 2836886, 2757104, 2661821]"
1079,362,"[975113, 2034634, 2376286, 879815, 2494519, 2771617, 2518566, 2757104, 2836886, 2853312]"
1089,362,"[2858128, 2858128, 2858128, 2818883, 2817834, 2815631, 2818883, 2661579, 2831558, 1151273]"
1103,362,"[2701727, 1455234, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736, 2598159]"
1112,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
1158,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
1171,362,"[2660153, 1606442, 1606442, 2851021, 1767921, 2121429, 1130383, 2801000, 419296, 1130383]"
1178,362,"[367486, 2714991, 2714991, 2314955, 2662868, 233400, 2411340, 2662868, 367486, 1579287]"
1208,362,"[2677713, 1508645, 1425569, 1535330, 2707836, 2724659, 1641902, 2640633, 2724659, 1508645]"
1213,362,"[2194271, 1880969, 2105401, 960196, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018]"
1242,362,"[1704736, 2598159, 2853312, 2560201, 2806018, 333573, 2449079, 2836886, 2757104, 2661821]"
1267,362,"[954075, 2263609, 2833895, 1336623, 2809863, 2168527, 2728577, 2651711, 2263609, 2833895]"
1276,362,"[2866627, 2696109, 2759765, 1675905, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018]"
1304,362,"[2252038, 2252038, 2726048, 2726048, 1943212, 2070515, 2741935, 2252038, 2271907, 1270392]"
1355,362,"[2743512, 2743512, 2743512, 2743512, 2250311, 2782360, 2666720, 2757104, 2836886, 2853312]"
1421,362,"[2155129, 2107146, 2627582, 1895416, 1374503, 2107146, 492557, 2170932, 1943447, 2073795]"
1479,362,"[1427872, 2506636, 2826607, 2848087, 2847957, 2757104, 2836886, 2853312, 2560201, 2449079]"
1486,362,"[2775893, 1616342, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736, 2598159]"
1489,362,"[2629789, 2743470, 2038033, 2236563, 2836469, 2853312, 1907081, 2831595, 1806374, 2650880]"
1549,362,"[2856016, 2849457, 1053587, 2236563, 1898563, 2757104, 2836886, 2853312, 2560201, 2449079]"
1593,362,"[2769063, 2377088, 2780315, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736]"
1656,362,"[1922022, 1243395, 2680438, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736]"
1706,362,"[1108989, 2761167, 1816099, 267732, 2754018, 2509241, 1064429, 2759126, 1724119, 1025600]"
1714,362,"[2243797, 2243797, 2740028, 1139958, 2311291, 2363831, 1989862, 2260270, 2761533, 1477008]"
1721,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
1801,362,"[2291023, 2291023, 1371011, 1371011, 2291023, 1371011, 1078100, 1078100, 2249384, 722517]"
1806,362,"[2864518, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736, 2598159, 333573]"
1823,362,"[2705197, 2652172, 893420, 2368199, 2825145, 2825083, 2197866, 2788946, 2807246, 1248314]"
1832,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
1839,362,"[2591668, 2390941, 2303375, 2591668, 2390941, 2816399, 1654901, 1485130, 1485130, 2390941]"
1847,362,"[2786141, 2786141, 2786141, 2655982, 2309910, 2269815, 2764957, 2453248, 2786141, 2809212]"
1852,362,"[2501432, 2501432, 2501432, 2501432, 2501432, 2501432, 1740852, 2780702, 1740852, 2636205]"
1868,362,"[2741324, 1948772, 2642065, 2637583, 2201439, 1677837, 2757104, 2836886, 2853312, 2560201]"
1869,362,"[2057088, 2749533, 2704596, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736]"
1883,362,"[2836994, 2522691, 2727908, 2727908, 2176368, 2186376, 674167, 2482575, 2755239, 2725077]"
1915,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
1919,362,"[982946, 2120473, 1298367, 2560201, 2746803, 2560201, 1298367, 2731644, 2731644, 2847639]"
1936,362,"[1083838, 2621952, 2451503, 881028, 2251925, 2703769, 1920860, 680222, 2757104, 2836886]"
1937,362,"[2119760, 2350701, 685808, 980645, 1662876, 523872, 2757104, 2836886, 2853312, 2560201]"
1938,362,"[2654646, 2237958, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736, 2598159]"
1951,362,"[1062737, 1618402, 1781123, 1742787, 1742787, 1937389, 1205659, 2830966, 766570, 2492335]"
1952,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
1983,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
1988,362,"[2293625, 2398906, 2293625, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736]"
1992,362,"[2824212, 2009572, 2406697, 2695030, 1954352, 2406697, 2117683, 2835818, 1963056, 810344]"
2000,362,"[2734010, 2774814, 2774814, 2774814, 2849127, 1106387, 2065605, 2734010, 2774814, 2757104]"
2030,362,"[2494519, 2822558, 2731644, 767081, 1904378, 2362072, 2842629, 2754394, 2774963, 902895]"
2054,362,"[2822621, 1704736, 1734942, 2521055, 2232386, 764854, 1462492, 2461290, 1748833, 2850727]"
2063,362,"[2224837, 767081, 1810488, 2749012, 2224837, 2749012, 2087255, 2772730, 1810488, 767081]"
2076,362,"[2774243, 1640094, 1956633, 2500859, 2577419, 2577419, 2772116, 2577419, 2745069, 2774243]"
2110,362,"[1443381, 2722410, 1427872, 1571271, 1571271, 1427872, 2320931, 790622, 441953, 2719479]"
2114,362,"[1507113, 1919247, 1919247, 1195067, 1398136, 1398136, 2039546, 2621049, 2163995, 2518842]"
2122,362,"[2377472, 2377472, 1937355, 2185239, 1606081, 1606081, 2377472, 1383849, 1743879, 1937355]"
2151,362,"[2711089, 2711089, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736, 2598159]"
2248,362,"[2856670, 2779645, 2784200, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736]"
2273,362,"[2529236, 2703629, 2079387, 2690223, 2618528, 2794602, 2624949, 1674082, 2757104, 2836886]"
2308,362,"[329315, 2324137, 2002413, 1934838, 2792479, 2849303, 2787353, 2757104, 2560085, 2757104]"
2314,362,"[2560201, 1704736, 2806018, 2836886, 2853312, 2598159, 333573, 2757104, 2449079, 2661821]"
2318,362,"[2525788, 2525788, 760486, 1734859, 450531, 1189088, 1112897, 2525788, 786479, 2773255]"
2325,362,"[2158319, 1562357, 2613297, 2748814, 1674851, 1361034, 1191571, 2757104, 2836886, 2853312]"
2337,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
2356,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
2378,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
2383,362,"[852128, 2523708, 2794275, 2781762, 2570287, 636232, 1794673, 1909582, 2833888, 1330980]"
2388,362,"[2357955, 2357955, 1339950, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736]"
2424,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
2426,362,"[2540547, 2610167, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736, 2598159]"
2471,362,"[2063701, 2698359, 2801879, 2685162, 2437056, 2654419, 2684532, 2349490, 2257631, 2651640]"
2486,362,"[2176459, 2176459, 1462492, 1462492, 2641649, 2687744, 2062782, 1954390, 1274057, 1818743]"
2523,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
2534,362,"[1704736, 2560201, 2806018, 2598159, 2853312, 333573, 2449079, 2836886, 2757104, 2661821]"
2537,362,"[1669921, 2100412, 2703457, 2703501, 2645468, 2404420, 1831132, 2757104, 2836886, 2853312]"
2539,362,"[2311824, 2311824, 2817268, 1964777, 2854059, 2806018, 2806018, 2757104, 2836886, 2853312]"
2548,362,"[1936274, 2560889, 2344808, 1676852, 2699440, 1629156, 2452422, 2757104, 2836886, 2853312]"
2550,362,"[1680687, 2824448, 2825548, 2150524, 2478817, 1929158, 1219203, 2757104, 2836886, 2853312]"
2552,362,"[117228, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736, 2598159, 333573]"
2554,362,"[2673317, 2153937, 2521874, 2294569, 2506175, 1132959, 2859969, 346922, 2859969, 2542534]"
2563,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
2567,362,"[1704736, 2598159, 2560201, 2853312, 2806018, 2449079, 333573, 2836886, 2757104, 2661821]"
2575,362,"[2169400, 2169400, 2736522, 2425517, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018]"
2576,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
2639,362,"[2076108, 2631234, 1548970, 2776012, 2245532, 2749691, 2148567, 2780586, 2769595, 2682715]"
2664,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
2723,362,"[1704736, 2560201, 2806018, 2598159, 2853312, 333573, 2836886, 2449079, 2757104, 2661821]"
2749,362,"[1704736, 2560201, 2806018, 2598159, 2853312, 333573, 2836886, 2449079, 2757104, 2661821]"
2753,362,"[2323537, 2441941, 1354209, 541605, 1086520, 1086520, 2441941, 1718646, 1354209, 2676824]"
2758,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
2768,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
2779,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
2804,362,"[2637255, 1992090, 2494449, 2494449, 2220248, 2260486, 2637255, 2494449, 2470332, 2260486]"
2805,362,"[2600627, 2600627, 2600627, 2600627, 2600627, 2600627, 2722657, 2144726, 2092831, 2757104]"
2828,362,"[199331, 2238591, 2545079, 1575873, 2698271, 2177810, 2560085, 2698588, 2835421, 2059356]"
2830,362,"[2684905, 2365788, 2787364, 2361494, 2772789, 2776328, 1351805, 2759317, 2714027, 2784527]"
2831,362,"[2314955, 2536037, 1810413, 1204898, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018]"
2847,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
2856,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
2876,362,"[2538913, 760858, 760858, 1193636, 1662876, 2685726, 2605887, 1516103, 760858, 2833747]"
2881,362,"[2145966, 2224837, 299844, 2258503, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018]"
2935,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
2961,362,"[573246, 573246, 1916808, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736]"
2962,362,"[2731181, 2731100, 2441675, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736]"
2987,362,"[2032628, 2032628, 1717862, 2100698, 2032628, 393694, 2757104, 2836886, 2853312, 2560201]"
3074,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
3089,362,"[103148, 2585975, 1593517, 2397267, 1090538, 350469, 361822, 502279, 687635, 970529]"
3100,362,"[2698809, 2720796, 2295665, 2209497, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018]"
3106,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
3118,362,"[1704736, 2560201, 2806018, 2598159, 2853312, 333573, 2836886, 2449079, 2757104, 2661821]"
3154,362,"[573246, 1363180, 2474250, 2355244, 1898563, 2075979, 2868143, 573246, 1298367, 2451503]"
3157,362,"[2848841, 2848841, 2848841, 2848841, 2792633, 2863730, 2826564, 216827, 63361, 2757104]"
3167,362,"[2855978, 2855978, 2855978, 2729349, 2729349, 2279950, 2279950, 1800624, 1740189, 2263864]"
3177,362,"[2178160, 913911, 1009782, 322935, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018]"
3179,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
3184,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
3193,362,"[1697925, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736, 2598159, 333573]"
3201,362,"[709065, 709065, 304858, 2034634, 1686089, 304858, 2034634, 792881, 1884982, 1189921]"
3232,362,"[1704736, 2560201, 2806018, 2598159, 2853312, 333573, 2836886, 2449079, 2757104, 2661821]"
3234,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
3330,362,"[1704736, 2560201, 2598159, 2806018, 333573, 2853312, 2449079, 2836886, 2757104, 2661821]"
3332,362,"[1737265, 2829222, 2831799, 2647530, 2737623, 2757104, 2836886, 2853312, 2560201, 2449079]"
3348,362,"[1937355, 1465353, 2804985, 2725143, 2708979, 2806588, 2757104, 2836886, 2853312, 2560201]"
3378,362,"[1343398, 342808, 723320, 582412, 2254939, 2590809, 1584381, 1465367, 2848103, 2757104]"
3386,362,"[1123651, 2863279, 2873014, 2865272, 1123651, 2856814, 2757104, 2836886, 2853312, 2560201]"
3395,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
3396,362,"[1552078, 2422954, 2640633, 2515047, 2020462, 1989768, 2444123, 2487525, 2323252, 2479967]"
3425,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
3430,362,"[2816399, 2816399, 2816399, 2816399, 2816399, 2771654, 2813132, 2757104, 2836886, 2853312]"
3513,362,"[2230369, 2230369, 918466, 918466, 2230369, 2230369, 1948772, 918466, 2736795, 2125466]"
3533,362,"[1899262, 1782443, 1899262, 2190597, 1782443, 1899262, 2190597, 1782443, 2190597, 2060083]"
3573,362,"[1704736, 2560201, 2806018, 2853312, 2598159, 333573, 2836886, 2449079, 2757104, 2661821]"
3608,362,"[1704736, 2598159, 2853312, 2560201, 333573, 2806018, 2449079, 2836886, 2757104, 2661821]"
3616,362,"[577029, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736, 2598159, 333573]"
3633,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
3659,362,"[2712360, 2677551, 2712360, 1904697, 2074835, 2074835, 2814699, 2839475, 2833929, 2437110]"
3707,362,"[384321, 2328864, 2633424, 384321, 1956964, 2562186, 2633424, 988602, 2692185, 1738034]"
3782,362,"[2403271, 1400292, 2094474, 2723667, 2025051, 2723667, 1053587, 2849457, 2099908, 2818757]"
3783,362,"[2224837, 834129, 2824186, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736]"
3787,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
3808,362,"[2640624, 2507853, 2401265, 2683382, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018]"
3834,362,"[2806363, 2708045, 2656765, 2791838, 2778086, 2775832, 2723644, 2651823, 2757104, 2836886]"
3835,362,"[1881284, 1404516, 2054572, 1765894, 2026088, 1365324, 1457162, 2489517, 2054572, 2091328]"
3853,362,"[2260767, 2814216, 2039217, 2734002, 2743783, 2671092, 948790, 2646524, 2813221, 2782596]"
3861,362,"[2850147, 2494449, 2041965, 1938956, 1938956, 2761395, 2361437, 2850147, 2361437, 2119626]"
3899,362,"[2862099, 2836886, 2717068, 2757104, 2853312, 2560201, 2449079, 2806018, 1704736, 2598159]"
3940,362,"[2717394, 2798573, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736, 2598159]"
3946,362,"[1573750, 2816505, 1492303, 902898, 2694095, 902095, 2757104, 2836886, 2853312, 2560201]"
3966,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
3993,362,"[2851040, 2851040, 2746272, 2832772, 996293, 739198, 2746272, 996293, 739198, 2830389]"
3994,362,"[2814216, 2824186, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736, 2598159]"
4009,362,"[2851254, 2734002, 1126940, 614439, 585383, 2613205, 1270006, 2479901, 1208849, 2529443]"
4030,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
4046,362,"[414648, 414648, 976825, 979235, 2058116, 2849652, 201679, 979235, 1582917, 2201795]"
4054,362,"[700981, 2659402, 1531589, 2136833, 1149090, 1156371, 700981, 725734, 1236831, 1709730]"
4056,362,"[2750010, 2750010, 1341947, 2369457, 1415128, 734917, 1608306, 2609260, 2784527, 2773850]"
4057,362,"[1704736, 2560201, 2598159, 2806018, 333573, 2853312, 2449079, 2836886, 2757104, 2661821]"
4085,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
4126,362,"[1683940, 2434577, 2781710, 2809293, 2030929, 1920466, 346335, 2757104, 2836886, 2853312]"
4139,362,"[729011, 1684457, 1684457, 1684457, 666721, 776421, 776421, 867097, 1684457, 666721]"
4157,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
4158,362,"[2040114, 2859680, 2029726, 1318073, 2535917, 2796952, 2719114, 2481697, 1414440, 2757104]"
4189,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
4221,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
4256,362,"[2235206, 2257760, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736, 2598159]"
4279,362,"[2053432, 2449855, 2449855, 1932261, 1947602, 1248063, 2053432, 1947602, 554535, 2248455]"
4337,362,"[2344617, 2190158, 2703610, 2767524, 2474961, 2824919, 2678435, 2757104, 2836886, 2853312]"
4379,362,"[2749840, 2687597, 2610803, 2677636, 2446853, 2446853, 1919847, 2749840, 2177810, 2176368]"
4380,362,"[2091249, 2257631, 2666059, 2532623, 1753902, 577029, 1753902, 2666059, 1618592, 577029]"
4402,362,"[2677713, 2319898, 2677713, 618260, 2319898, 618260, 491013, 2447782, 2754142, 1987433]"
4418,362,"[1983091, 2116796, 2742381, 1983091, 1979291, 2116796, 1622850, 2724201, 2283389, 2605542]"
4433,362,"[1214206, 199331, 2660550, 2545079, 1757387, 2177810, 2479713, 1626080, 2044077, 1806037]"
4437,362,"[2858084, 2276180, 2736243, 841260, 2724661, 2814754, 2848029, 400443, 1995632, 2860116]"
4465,362,"[2754018, 2754018, 2761167, 2824034, 2589587, 2816403, 2824034, 2739498, 2744988, 2853768]"
4473,362,"[776603, 2560201, 2729349, 2422954, 2777284, 2366168, 2866166, 2789890, 814741, 2757104]"
4508,362,"[395798, 2791083, 2783354, 1727836, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018]"
4578,362,"[2711089, 2711089, 2699205, 993795, 2699205, 1969352, 1954507, 1969352, 1038667, 1038667]"
4589,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
4612,362,"[1327866, 2854578, 2683382, 2238036, 2799298, 2654389, 2648090, 2355911, 2757104, 2836886]"
4649,362,"[2421931, 2552215, 2526854, 2348916, 2740701, 1394452, 1809023, 519422, 1794147, 1932560]"
4672,362,"[2612168, 1982647, 495193, 2577554, 2474250, 2760132, 2560524, 2676518, 1833401, 1428398]"
4700,362,"[2807246, 2795730, 2833034, 2834640, 2462007, 2095280, 802969, 2757104, 2836886, 2853312]"
4706,362,"[1056716, 2701588, 2701588, 1353112, 1898563, 1590794, 2703463, 916511, 394429, 1898563]"
4714,362,"[1973905, 2858479, 2787687, 2787687, 1973905, 2832711, 1676949, 2853312, 2822253, 2285860]"
4718,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
4731,362,"[2291145, 2279057, 1042452, 2251925, 2523749, 2669967, 2359171, 2659728, 2323021, 2291133]"
4741,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
4742,362,"[1656838, 2059349, 1534748, 1427449, 1656838, 2757104, 2836886, 2853312, 2560201, 2449079]"
4743,362,"[2739353, 1631066, 855018, 964514, 2518504, 2520550, 964514, 2722155, 2282479, 887264]"
4752,362,"[2251925, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736, 2598159, 333573]"
4754,362,"[681773, 2643304, 2814318, 2107929, 1559131, 2761149, 299844, 2827012, 2714968, 2727940]"
4795,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
4859,362,"[1704736, 2598159, 2853312, 2560201, 2806018, 333573, 2449079, 2836886, 2757104, 2661821]"
4864,362,"[1704736, 2560201, 2806018, 2853312, 2836886, 2598159, 333573, 2757104, 2449079, 2661821]"
4924,362,"[2771916, 2804985, 1629740, 2771941, 2788566, 2771941, 1898563, 2771941, 2808612, 2808479]"
4935,362,"[2788358, 2788358, 2371642, 2624968, 2621952, 2186914, 2674137, 1749280, 1949880, 1462322]"
4941,362,"[2782258, 2780676, 2760132, 2801331, 2798387, 2784954, 2779718, 2694779, 2757104, 2836886]"
4946,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
4950,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
4962,362,"[1704736, 2560201, 2806018, 2598159, 2853312, 333573, 2836886, 2449079, 2757104, 2661821]"
4979,362,"[2580896, 2153937, 2849611, 1945954, 2153937, 2455783, 2849611, 596676, 2627256, 2257631]"
4984,362,"[2273426, 110380, 1996376, 2273426, 110380, 2474961, 1895857, 2474961, 1711811, 1996376]"
5005,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
5041,362,"[1712670, 1213890, 685854, 1941512, 1545754, 1213890, 517416, 2653445, 1259101, 2834552]"
5053,362,"[1415128, 2102301, 2598159, 1958684, 2805278, 2729349, 2449079, 2822341, 734917, 2369457]"
5089,362,"[2127368, 1608062, 499053, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736]"
5117,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
5138,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
5158,362,"[2361437, 1670404, 2753507, 2370741, 2292217, 1647528, 2496759, 2370741, 2496759, 2537399]"
5174,362,"[1937355, 2629760, 501685, 2409374, 2450932, 1196677, 1937355, 2019081, 2515987, 2197116]"
5192,362,"[2091249, 2779780, 2532623, 1179629, 428449, 1618592, 1554528, 577029, 351898, 1266007]"
5199,362,"[1704736, 2560201, 2806018, 2853312, 2598159, 333573, 2836886, 2449079, 2757104, 2661821]"
5208,362,"[2452277, 1456534, 2099239, 1430622, 2038033, 2479713, 2757104, 2836886, 2853312, 2560201]"
5225,362,"[2867410, 568591, 2792633, 2792320, 2744996, 2757104, 2836886, 2853312, 2560201, 2449079]"
5281,362,"[2659986, 2833258, 587304, 2827868, 1618592, 1618592, 2817268, 2591668, 1621104, 1497124]"
